election_type,province_number,province,district,subdistrict,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,party,votes
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,170,230,ก้าวไกล,39
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,287,404,ก้าวไกล,111
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,462,522,ก้าวไกล,0
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,212,287,ก้าวไกล,65
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,270,361,ก้าวไกล,101
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,406,530,ก้าวไกล,123
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,222,288,ก้าวไกล,49
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,520,782,ก้าวไกล,149
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,262,355,ก้าวไกล,91
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,412,577,ก้าวไกล,178
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,302,421,ก้าวไกล,74
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,336,445,ก้าวไกล,131
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,418,556,ก้าวไกล,154
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,327,441,ก้าวไกล,110
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,194,275,ก้าวไกล,76
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,387,501,ก้าวไกล,126
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,557,763,ก้าวไกล,178
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,418,519,ก้าวไกล,132
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,527,752,ก้าวไกล,158
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่นาวาง,656,901,ก้าวไกล,141
