รหัสจังหวัด,จังหวัด,เขต,อำเภอ,ตำบล,หมู่,หมายเลขหน่วยเลือกตั้ง,หมายเลขผู้สมัคร,ชื่อผู้สมัคร,ชื่อพรรค,คะแนน
50,เชียงใหม่,7,แม่อาย,แม่อาย,10,11,2,นายสมดุลย์ อุตเจริญ,ประชาชน,35
50,เชียงใหม่,7,แม่อาย,แม่อาย,10,11,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,10,11,4,นายสันติ ตันสุหัช,ก้าวอิสระ,3
50,เชียงใหม่,7,แม่อาย,แม่อาย,10,11,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,98
50,เชียงใหม่,7,แม่อาย,แม่อาย,10,11,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,25
50,เชียงใหม่,7,แม่อาย,แม่อาย,10,11,7,นายไกร ดาบธรรม,พลังประชารัฐ,44
50,เชียงใหม่,7,แม่อาย,แม่อาย,10,11,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,4
50,เชียงใหม่,7,แม่อาย,แม่อาย,10,11,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,3
50,เชียงใหม่,7,แม่อาย,แม่อาย,11,12,1,นายอดุลย์ บุญใส,ภูมิใจไทย,4
50,เชียงใหม่,7,แม่อาย,แม่อาย,11,12,2,นายสมดุลย์ อุตเจริญ,ประชาชน,21
50,เชียงใหม่,7,แม่อาย,แม่อาย,11,12,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,แม่อาย,11,12,4,นายสันติ ตันสุหัช,ก้าวอิสระ,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,11,12,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,90
50,เชียงใหม่,7,แม่อาย,แม่อาย,11,12,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,20
50,เชียงใหม่,7,แม่อาย,แม่อาย,11,12,7,นายไกร ดาบธรรม,พลังประชารัฐ,35
50,เชียงใหม่,7,แม่อาย,แม่อาย,11,12,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,2
50,เชียงใหม่,7,แม่อาย,แม่อาย,11,12,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,3
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,1,1,นายอดุลย์ บุญใส,ภูมิใจไทย,10
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,1,2,นายสมดุลย์ อุตเจริญ,ประชาชน,85
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,1,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,1,4,นายสันติ ตันสุหัช,ก้าวอิสระ,1
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,1,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,147
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,1,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,55
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,1,7,นายไกร ดาบธรรม,พลังประชารัฐ,20
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,1,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,2
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,1,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,2
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,2,1,นายอดุลย์ บุญใส,ภูมิใจไทย,22
50,เชียงใหม่,7,ไชยปราการ,ปงตำ,1,2,2,นายสมดุลย์ อุตเจริญ,ประชาชน,72
